"","...1","year","imdb","title","test","clean_test","binary","budget","domgross","intgross","code","budget_2013","domgross_2013","intgross_2013","period_code","decade_code","gross_2013","roi"
"19",19,2013,"tt2229499","Don Jon","dubious-disagree","dubious","FAIL",5500000,24477704,26377704,"2013FAIL",5500000,24477704,26377704,1,1,50855408,9.24643781818182
"20",20,2013,"tt1535108","Elysium","ok-disagree","ok","PASS",1.2e+08,93050117,286192091,"2013PASS",1.2e+08,93050117,286192091,1,1,379242208,3.16035173333333
"21",21,2013,"tt1731141","Ender's Game","men","men","FAIL",1.1e+08,61737191,89737191,"2013FAIL",1.1e+08,61737191,89737191,1,1,151474382,1.37703983636364
"22",22,2013,"tt0848537","Epic","ok-disagree","ok","PASS",1e+08,107518682,268418682,"2013PASS",1e+08,107518682,268418682,1,1,375937364,3.75937364
"23",23,2013,"tt0765446","Escape from Planet Earth","ok","ok","PASS",4e+07,57012977,66454811,"2013PASS",4e+07,57012977,66454811,1,1,123467788,3.0866947
"24",24,2013,"tt1211956","Escape Plan","men","men","FAIL",7e+07,25213103,103813103,"2013FAIL",7e+07,25213103,103813103,1,1,129026206,1.84323151428571
"25",25,2013,"tt1288558","Evil Dead","ok-disagree","ok","PASS",1.7e+07,54239856,97402049,"2013PASS",1.7e+07,54239856,97402049,1,1,151641905,8.92011205882353
"26",26,2013,"tt1905041","Fast and Furious 6","ok-disagree","ok","PASS",1.6e+08,238679850,788128122,"2013PASS",1.6e+08,238679850,788128122,1,1,1026807972,6.417549825
"27",27,2013,"tt2294629","Frozen","ok","ok","PASS",1.5e+08,393050114,1004550114,"2013PASS",1.5e+08,393050114,1004550114,1,1,1397600228,9.31733485333333
"28",28,2013,"tt1583421","G.I. Joe: Retaliation","ok-disagree","ok","PASS",1.4e+08,122523060,371923060,"2013PASS",1.4e+08,122523060,371923060,1,1,494446120,3.531758
"29",29,2013,"tt1321870","Gangster Squad","notalk","notalk","FAIL",6e+07,46000903,104100903,"2013FAIL",6e+07,46000903,104100903,1,1,150101806,2.50169676666667
"30",30,2013,"tt2425486","Gloria","ok","ok","PASS",3e+07,4167493,4967493,"2013PASS",3e+07,4167493,4967493,1,1,9134986,0.304499533333333
"31",31,2013,"tt1454468","Gravity","nowomen-disagree","nowomen","FAIL",1.1e+08,271814796,708714796,"2013FAIL",1.1e+08,271814796,708714796,1,1,980529592,8.91390538181818
"32",32,2013,"tt2191701","Grown Ups 2","men-disagree","men","FAIL",8e+07,133668525,247023808,"2013FAIL",8e+07,133668525,247023808,1,1,380692333,4.7586541625
"33",33,2013,"tt1428538","Hansel & Gretel: Witch Hunters","ok","ok","PASS",5e+07,55703475,225703475,"2013PASS",5e+07,55703475,225703475,1,1,281406950,5.628139
"34",34,2013,"tt1798709","Her","men-disagree","men","FAIL",2.3e+07,25000178,33029713,"2013FAIL",2.3e+07,25000178,33029713,1,1,58029891,2.52303873913043
"35",35,2013,"tt2024432","Identity Thief","men-disagree","men","FAIL",3.5e+07,134506920,176269721,"2013FAIL",3.5e+07,134506920,176269721,1,1,310776641,8.8793326
"36",36,2013,"tt2226417","Insidious: Chapter 2","men","men","FAIL",5e+06,83586447,161911222,"2013FAIL",5e+06,83586447,161911222,1,1,245497669,49.0995338
"37",37,2013,"tt1300854","Iron Man 3","dubious-disagree","dubious","FAIL",2e+08,408992272,1212692272,"2013FAIL",2e+08,408992272,1212692272,1,1,1621684544,8.10842272
"38",38,2013,"tt1351685","Jack the Giant Slayer","nowomen-disagree","nowomen","FAIL",1.95e+08,65187603,197387603,"2013FAIL",1.95e+08,65187603,197387603,1,1,262575206,1.34653951794872
"39",39,2013,"tt1650554","Kick-Ass 2","ok","ok","PASS",2.8e+07,28795985,60839197,"2013PASS",2.8e+07,28795985,60839197,1,1,89635182,3.2012565
"40",40,2013,"tt1204975","Last Vegas","notalk","notalk","FAIL",2.8e+07,63914167,112914167,"2013FAIL",2.8e+07,63914167,112914167,1,1,176828334,6.31529764285714
"41",41,2013,"tt1327773","Lee Daniels' The Butler","ok","ok","PASS",3e+07,116632095,151513429,"2013PASS",3e+07,116632095,151513429,1,1,268145524,8.93818413333333
"42",42,2013,"tt2002718","Machete Kills","ok","ok","PASS",2e+06,8008161,9408161,"2013PASS",2e+06,8008161,9408161,1,1,17416322,8.708161
"43",43,2013,"tt2023587","Mama","ok","ok","PASS",1.5e+07,71628180,148041253,"2013PASS",1.5e+07,71628180,148041253,1,1,219669433,14.6446288666667
"44",44,2013,"tt0770828","Man of Steel","ok-disagree","ok","PASS",2.25e+08,291045518,687999518,"2013PASS",2.25e+08,291045518,687999518,1,1,979045036,4.35131127111111
"45",45,2013,"tt1821549","Nebraska","ok-disagree","ok","PASS",1.2e+07,17482517,17482517,"2013PASS",1.2e+07,17482517,17482517,1,1,34965034,2.91375283333333
"46",46,2013,"tt1670345","Now You See Me","notalk-disagree","notalk","FAIL",7.5e+07,117723989,351723989,"2013FAIL",7.5e+07,117723989,351723989,1,1,469447978,6.25930637333333
"47",47,2013,"tt1483013","Oblivion","men-disagree","men","FAIL",1.2e+08,89107235,287537983,"2013FAIL",1.2e+08,89107235,287537983,1,1,376645218,3.13871015
"48",48,2013,"tt2302755","Olympus Has Fallen","notalk","notalk","FAIL",7e+07,98927592,150562164,"2013FAIL",7e+07,98927592,150562164,1,1,249489756,3.56413937142857
"49",49,2013,"tt1623205","Oz the Great and Powerful","ok-disagree","ok","PASS",2e+08,234770996,489570996,"2013PASS",2e+08,234770996,489570996,1,1,724341992,3.62170996
"50",50,2013,"tt1663662","Pacific Rim","notalk-disagree","notalk","FAIL",1.9e+08,101802906,411002906,"2013FAIL",1.9e+08,101802906,411002906,1,1,512805812,2.69897795789474
"51",51,2013,"tt1980209","Pain & Gain","notalk","notalk","FAIL",2.6e+07,49875291,81275291,"2013FAIL",2.6e+07,49875291,81275291,1,1,131150582,5.04425315384615
"52",52,2013,"tt1904996","Parker","ok","ok","PASS",3.5e+07,17616641,46346651,"2013PASS",3.5e+07,17616641,46346651,1,1,63963292,1.82752262857143
"53",53,2013,"tt1699755","Peeples","dubious","dubious","FAIL",1.5e+07,9177065,9177065,"2013FAIL",1.5e+07,9177065,9177065,1,1,18354130,1.22360866666667
"54",54,2013,"tt1854564","Percy Jackson: Sea of Monsters","ok","ok","PASS",9e+07,68559554,200859554,"2013PASS",9e+07,68559554,200859554,1,1,269419108,2.99354564444444
"55",55,2013,"tt1392214","Prisoners","ok","ok","PASS",4.6e+07,61002302,113402302,"2013PASS",4.6e+07,61002302,113402302,1,1,174404604,3.79140443478261
"56",56,2013,"tt0790736","R.I.P.D.","notalk","notalk","FAIL",1.3e+08,33618855,79019947,"2013FAIL",1.3e+08,33618855,79019947,1,1,112638802,0.866452323076923
"57",57,2013,"tt1821694","Red 2","ok","ok","PASS",8.4e+07,53262560,137162560,"2013PASS",8.4e+07,53262560,137162560,1,1,190425120,2.26696571428571
"58",58,2013,"tt1411250","Riddick","notalk-disagree","notalk","FAIL",3.8e+07,42025135,92425135,"2013FAIL",3.8e+07,42025135,92425135,1,1,134450270,3.538165
"59",59,2013,"tt2364841","Runner Runner","nowomen","nowomen","FAIL",3e+07,19316646,62616646,"2013FAIL",3e+07,19316646,62616646,1,1,81933292,2.73110973333333
"60",60,2013,"tt1979320","Rush","notalk","notalk","FAIL",3.8e+07,26947624,43047624,"2013FAIL",3.8e+07,26947624,43047624,1,1,69995248,1.84198021052632
"61",61,2013,"tt1702439","Safe Haven","ok","ok","PASS",2.8e+07,71399120,93943623,"2013PASS",2.8e+07,71399120,93943623,1,1,165342743,5.90509796428571
"62",62,2013,"tt2140373","Saving Mr. Banks","ok","ok","PASS",3.5e+07,82834332,100734332,"2013PASS",3.5e+07,82834332,100734332,1,1,183568664,5.24481897142857
"63",63,2013,"tt2053463","Side Effects","ok","ok","PASS",3e+07,32172757,60288363,"2013PASS",3e+07,32172757,60288363,1,1,92461120,3.08203733333333
"64",64,2013,"tt1408101","Star Trek Into Darkness","notalk-disagree","notalk","FAIL",1.9e+08,228778661,466978661,"2013FAIL",1.9e+08,228778661,466978661,1,1,695757322,3.66188064210526
"65",65,2013,"tt1572315","Texas Chainsaw 3D","ok-disagree","ok","PASS",2e+07,34341945,39093317,"2013PASS",2e+07,34341945,39093317,1,1,73435262,3.6717631
"66",66,2013,"tt1931435","The Big Wedding","ok","ok","PASS",32500000,21819348,35770721,"2013PASS",32500000,21819348,35770721,1,1,57590069,1.77200212307692
"67",67,2013,"tt0816442","The Book Thief","ok","ok","PASS",1.9e+07,21345525,62045525,"2013PASS",1.9e+07,21345525,62045525,1,1,83391050,4.38900263157895
"68",68,2013,"tt1911644","The Call","ok","ok","PASS",1.3e+07,51872378,58938768,"2013PASS",1.3e+07,51872378,58938768,1,1,110811146,8.52393430769231
"69",69,2013,"tt1457767","The Conjuring","ok","ok","PASS",2e+07,137400141,318000141,"2013PASS",2e+07,137400141,318000141,1,1,455400282,22.7700141
"70",70,2013,"tt2193215","The Counselor","ok","ok","PASS",2.5e+07,16973715,70373715,"2013PASS",2.5e+07,16973715,70373715,1,1,87347430,3.4938972
"71",71,2013,"tt0481499","The Croods","men-disagree","men","FAIL",1.35e+08,187168425,573068425,"2013FAIL",1.35e+08,187168425,573068425,1,1,760236850,5.63138407407407
"72",72,2013,"tt2404311","The Family","men","men","FAIL",3e+07,36918811,51078541,"2013FAIL",3e+07,36918811,51078541,1,1,87997352,2.93324506666667
"73",73,2013,"tt1837703","The Fifth Estate","notalk","notalk","FAIL",2.6e+07,3254172,6154172,"2013FAIL",2.6e+07,3254172,6154172,1,1,9408344,0.361859384615385
"74",74,2013,"tt2005374","The Frozen Ground","nowomen-disagree","nowomen","FAIL",19200000,NA,NA,"2013FAIL",19200000,NA,NA,1,1,NA,NA
"75",75,2013,"tt1343092","The Great Gatsby","dubious","dubious","FAIL",1.9e+08,144840419,351040419,"2013FAIL",1.9e+08,144840419,351040419,1,1,495880838,2.60989914736842
"76",76,2013,"tt1951261","The Hangover part 3","men","men","FAIL",1.03e+08,112200072,362000072,"2013FAIL",1.03e+08,112200072,362000072,1,1,474200144,4.60388489320388
"77",77,2013,"tt2404463","The Heat","ok","ok","PASS",4.3e+07,159581587,230781587,"2013PASS",4.3e+07,159581587,230781587,1,1,390363174,9.07821334883721
"78",78,2013,"tt1170358","The Hobbit: The Desolation of Smaug","notalk-disagree","notalk","FAIL",2.5e+08,257397516,937397516,"2013FAIL",2.5e+08,257397516,937397516,1,1,1194795032,4.779180128
"79",79,2013,"tt1517260","The Host","dubious-disagree","dubious","FAIL",5e+07,26623701,58188384,"2013FAIL",5e+07,26623701,58188384,1,1,84812085,1.6962417
"80",80,2013,"tt1951264","The Hunger Games: Catching Fire","ok","ok","PASS",1.3e+08,424088260,857088260,"2013PASS",1.3e+08,424088260,857088260,1,1,1281176520,9.855204
"81",81,2013,"tt0790628","The Incredible Burt Wonderstone","notalk","notalk","FAIL",3.2e+07,22537881,24255957,"2013FAIL",3.2e+07,22537881,24255957,1,1,46793838,1.4623074375
"82",82,2013,"tt2234155","The Internship","notalk","notalk","FAIL",5.8e+07,44672764,93672764,"2013FAIL",5.8e+07,44672764,93672764,1,1,138345528,2.38526772413793
"83",83,2013,"tt2034139","The Last Exorcism Part II","ok","ok","PASS",4e+06,15179303,18541236,"2013PASS",4e+06,15179303,18541236,1,1,33720539,8.43013475
"84",84,2013,"tt1210819","The Lone Ranger","notalk","notalk","FAIL",2.75e+08,89289910,259989910,"2013FAIL",2.75e+08,89289910,259989910,1,1,349279820,1.27010843636364
"85",85,2013,"tt1538403","The Mortal Instruments: City of Bones","ok-disagree","ok","PASS",6e+07,31165421,75965567,"2013PASS",6e+07,31165421,75965567,1,1,107130988,1.78551646666667
"86",86,2013,"tt2184339","The Purge","dubious","dubious","FAIL",3e+06,64473115,91100541,"2013FAIL",3e+06,64473115,91100541,1,1,155573656,51.8578853333333
"87",87,2013,"tt2017020","The Smurfs 2","ok","ok","PASS",1.1e+08,71017784,348545841,"2013PASS",1.1e+08,71017784,348545841,1,1,419563625,3.81421477272727
"88",88,2013,"tt1758795","The To Do List","ok","ok","PASS",1500000,3491669,3491669,"2013PASS",1500000,3491669,3491669,1,1,6983338,4.65555866666667
"89",89,2013,"tt1727388","The Way Way Back","ok-disagree","ok","PASS",5e+06,21502690,26161443,"2013PASS",5e+06,21502690,26161443,1,1,47664133,9.5328266
"90",90,2013,"tt0993846","The Wolf of Wall Street","notalk-disagree","notalk","FAIL",1e+08,115702857,365702857,"2013FAIL",1e+08,115702857,365702857,1,1,481405714,4.81405714
"91",91,2013,"tt1430132","The Wolverine","ok","ok","PASS",1.15e+08,132556852,416456852,"2013PASS",1.15e+08,132556852,416456852,1,1,549013704,4.77403220869565
"92",92,2013,"tt1213663","The World's End","men-disagree","men","FAIL",2e+07,26004851,46578821,"2013FAIL",2e+07,26004851,46578821,1,1,72583672,3.6291836
"93",93,2013,"tt1245492","This Is the End","notalk","notalk","FAIL",3.2e+07,101470202,126294264,"2013FAIL",3.2e+07,101470202,126294264,1,1,227764466,7.1176395625
"94",94,2013,"tt1981115","Thor: The Dark World","dubious-disagree","dubious","FAIL",1.7e+08,204674790,631674790,"2013FAIL",1.7e+08,204674790,631674790,1,1,836349580,4.91970341176471
"95",95,2013,"tt1924429","Trance","nowomen","nowomen","FAIL",1.6e+07,2322593,22594052,"2013FAIL",1.6e+07,2322593,22594052,1,1,24916645,1.5572903125
"96",96,2013,"tt1860353","Turbo","dubious-disagree","dubious","FAIL",1.35e+08,83028130,283828130,"2013FAIL",1.35e+08,83028130,283828130,1,1,366856260,2.71745377777778
"97",97,2013,"tt1588173","Warm Bodies","men-disagree","men","FAIL",3e+07,66380662,116643610,"2013FAIL",3e+07,66380662,116643610,1,1,183024272,6.10080906666667
"98",98,2013,"tt1723121","We're the Millers","ok","ok","PASS",3.7e+07,150394119,270000119,"2013PASS",3.7e+07,150394119,270000119,1,1,420394238,11.3620064324324
"99",99,2013,"tt2334879","White House Down","men","men","FAIL",1.5e+08,73103784,205440387,"2013FAIL",1.5e+08,73103784,205440387,1,1,278544171,1.85696114
"100",100,2013,"tt0816711","World War Z","dubious-disagree","dubious","FAIL",1.9e+08,202359711,539559711,"2013FAIL",1.9e+08,202359711,539559711,1,1,741919422,3.90483906315789
"101",101,2012,"tt1611224","Abraham Lincoln: Vampire Hunter","dubious-disagree","dubious","FAIL",67500000,37519139,115119139,"2012FAIL",68488103,38068365,116804318,1,1,154872683,2.26130782159348
"102",102,2012,"tt1591479","Act of Valor","nowomen","nowomen","FAIL",1.2e+07,70012847,82497035,"2012FAIL",12175663,71037735,83704673,1,1,154742408,12.7091566184117
"103",103,2012,"tt1602620","Amour","dubious-disagree","dubious","FAIL",9700000,6738954,25915719,"2012FAIL",9841994,6837603,26295088,1,1,33132691,3.36646120694648
"104",104,2012,"tt1781769","Anna Karenina","men-disagree","men","FAIL",4.9e+07,12816367,70735540,"2012FAIL",49717290,13003980,71771007,1,1,84774987,1.70514094794789
"105",105,2012,"tt1024648","Argo","ok-disagree","ok","PASS",44500000,136025503,221300694,"2012PASS",45151416,138016721,224540219,1,1,362556940,8.0298022104113
"106",106,2012,"tt1440129","Battleship","notalk-disagree","notalk","FAIL",2.09e+08,65235400,304142720,"2012FAIL",212059460,66190353,308594933,1,1,374785286,1.76735942834147
"107",107,2012,"tt2125435","Beasts of the Southern Wild","dubious-disagree","dubious","FAIL",1800000,12795746,21080058,"2012FAIL",1826349,12983057,21388640,1,1,34371697,18.8198953212119
"108",108,2012,"tt1758575","Blue Like Jazz","ok","ok","PASS",1200000,595018,595018,"2012PASS",1217566,603728,603728,1,1,1207456,0.99169654868812
"109",109,2012,"tt1217209","Brave","ok","ok","PASS",1.85e+08,237282182,554606532,"2012PASS",187708135,240755653,562725176,1,1,803480829,4.28047952743231
"110",110,2012,"tt1308729","Bullet to the Head","nowomen","nowomen","FAIL",5.5e+07,9489829,13561515,"2012FAIL",55805121,9628746,13760036,1,1,23388782,0.419115335311252
"111",111,2012,"tt1991245","Chernobyl Diaries","notalk","notalk","FAIL",1e+06,18119640,38390020,"2012FAIL",1014639,18384886,38951995,1,1,57336881,56.509636432268
"112",112,2012,"tt1706593","Chronicle","notalk","notalk","FAIL",1.2e+07,64575175,127075175,"2012FAIL",12175663,65520463,128935373,1,1,194455836,15.97086220274
"113",113,2012,"tt1371111","Cloud Atlas","ok","ok","PASS",1.02e+08,27108272,126018564,"2012PASS",103493134,27505098,127863295,1,1,155368393,1.50124348345659
"114",114,2012,"tt1524137","Contraband","ok","ok","PASS",2.5e+07,66528000,98406855,"2012PASS",25365964,67501874,99847390,1,1,167349264,6.5973942090275
"115",115,2012,"tt1853728","Django Unchained","notalk-disagree","notalk","FAIL",1e+08,162805434,425373688,"2012FAIL",101463857,165188672,431600549,1,1,596789221,5.88179119782525
"116",116,2012,"tt1907668","Flight","dubious-disagree","dubious","FAIL",3.1e+07,93772375,161772375,"2012FAIL",31453796,95145068,164140491,1,1,259285559,8.24337892316717
"117",117,2012,"tt1142977","Frankenweenie","nowomen-disagree","nowomen","FAIL",3.9e+07,35287788,81150788,"2012FAIL",39570904,35804351,82338719,1,1,118143070,2.98560452397044
"118",118,2012,"tt2243973","Hannibal","ok","ok","PASS",8.7e+07,165092266,350100280,"2012PASS",88273555,167508980,355225246,1,1,522734226,5.92175341754391
"119",119,2012,"tt0837562","Hotel Transylvania","ok","ok","PASS",8.5e+07,148313048,359222014,"2012PASS",86244278,150484138,364480509,1,1,514964647,5.97100073120213
"120",120,2012,"tt0790724","Jack Reacher","notalk","notalk","FAIL",6e+07,80070736,217370736,"2012FAIL",60878314,81242857,220552732,1,1,301795589,4.95735786966768
"121",121,2012,"tt2106476","Jagten","men","men","FAIL",3450000,687185,687185,"2012FAIL",3500503,697244,697244,1,1,1394488,0.398367891700136
"122",122,2012,"tt0401729","John Carter","ok-disagree","ok","PASS",2.75e+08,73058679,282778100,"2012PASS",279025606,74128153,286917566,1,1,361045719,1.29395192138746
"123",123,2012,"tt1764234","Killing Them Softly","nowomen","nowomen","FAIL",1.5e+07,14945541,37238774,"2012FAIL",15219578,15164322,37783896,1,1,52948218,3.47895440990545
"124",124,2012,"tt1707386","Les Miserables","ok-disagree","ok","PASS",6.5e+07,148809770,442022894,"2012PASS",65951507,150988132,448493475,1,1,599481607,9.08973326416938
"125",125,2012,"tt0454876","Life of Pi","notalk-disagree","notalk","FAIL",1.2e+08,124987022,607987022,"2012FAIL",121756628,126816653,616887080,1,1,743703733,6.10811702998214
"126",126,2012,"tt0443272","Lincoln","ok-disagree","ok","PASS",6.5e+07,182207973,273000960,"2012PASS",65951507,184875236,276997302,1,1,461872538,7.00321431623996
"127",127,2012,"tt1277953","Madagascar 3: Europe's Most Wanted","men-disagree","men","FAIL",1.45e+08,216391482,746921271,"2012FAIL",147122592,219559143,757855127,1,1,977414270,6.64353622861674
"128",128,2012,"tt1409024","Men in Black III","notalk","notalk","FAIL",2.15e+08,179020854,624821154,"2012FAIL",218147292,181641463,633967639,1,1,815609102,3.73880003057751
"129",129,2012,"tt1667353","Mirror Mirror","dubious","dubious","FAIL",8.5e+07,64935167,168611991,"2012FAIL",86244278,65885725,171080229,1,1,236965954,2.74761363298792
"130",130,2012,"tt1748122","Moonrise Kingdom","ok","ok","PASS",1.6e+07,45512466,64012466,"2012PASS",16234217,46178703,64949517,1,1,111128220,6.84530827695601
"131",131,2012,"tt2094064","Much Ado About Nothing","dubious-disagree","dubious","FAIL",8e+06,22549338,22549338,"2012FAIL",8117109,22879428,22879428,1,1,45758856,5.6373341789546
"132",132,2012,"tt1598828","One for the Money","ok","ok","PASS",4.2e+07,26414527,36197221,"2012PASS",42614820,26801198,36727096,1,1,63528294,1.49075589196434
"133",133,2012,"tt2109184","Paranormal Activity 4","ok","ok","PASS",5e+06,53900335,142793842,"2012PASS",5073193,54689359,144884139,1,1,199573498,39.3388341425213
"134",134,2012,"tt1623288","ParaNorman","notalk-disagree","notalk","FAIL",6e+07,56003051,108159011,"2012FAIL",60878314,56822855,109742304,1,1,166565159,2.73603436192402
"135",135,2012,"tt1047540","Parental Guidance","ok","ok","PASS",2.5e+07,77267296,120168633,"2012PASS",25365964,78398378,121927729,1,1,200326107,7.89743717210984
"136",136,2012,"tt1716777","People Like Us","ok","ok","PASS",1.6e+07,12431792,12431792,"2012PASS",16234217,12613776,12613776,1,1,25227552,1.55397405369166
"137",137,2012,"tt1981677","Pitch Perfect","ok","ok","PASS",1.7e+07,65001093,115331177,"2012PASS",17248856,65952616,117019460,1,1,182972076,10.6077803652602
"138",138,2012,"tt1547234","Premium Rush","ok","ok","PASS",3.5e+07,20275446,31393201,"2012PASS",35512350,20572249,31852752,1,1,52425001,1.47624702392266
"139",139,2012,"tt1234719","Red Dawn","notalk-disagree","notalk","FAIL",6.5e+07,44806783,48164150,"2012FAIL",65951507,45462690,48869204,1,1,94331894,1.43032203949487
"140",140,2012,"tt0485985","Red Tails","men","men","FAIL",5.8e+07,49876377,50365498,"2012FAIL",58849037,50606496,51102777,1,1,101709273,1.72830819644508
"141",141,2012,"tt1446192","Rise of the Guardians","notalk-disagree","notalk","FAIL",1.45e+08,103412758,306900902,"2012FAIL",147122592,104926572,311393491,1,1,416320063,2.82974937662871
"142",142,2012,"tt1336608","Rock of Ages","ok","ok","PASS",7e+07,38518613,50118613,"2012PASS",71024700,39082470,50852278,1,1,89934748,1.26624608058887
"143",143,2012,"tt1656190","Safe","notalk-disagree","notalk","FAIL",3.3e+07,17142080,41495213,"2012FAIL",33483073,17393015,42102643,1,1,59495658,1.77688762318799
"144",144,2012,"tt1862079","Safety Not Guaranteed","ok-disagree","ok","PASS",750000,4010957,4413188,"2012PASS",760979,4069672,4477791,1,1,8547463,11.2321930040119
"145",145,2012,"tt1931533","Seven Psychopaths","notalk-disagree","notalk","FAIL",13500000,15024049,23492318,"2012FAIL",13697621,15243980,23836212,1,1,39080192,2.85306419267988
"146",146,2012,"tt0938330","Silent Hill: Revelation 3D","ok","ok","PASS",2e+07,17530219,47944599,"2012PASS",20292771,17786836,48646439,1,1,66433275,3.27374092971334
"147",147,2012,"tt1045658","Silver Linings Playbook","ok","ok","PASS",2.1e+07,132092958,227317397,"2012PASS",21307410,134026609,230644998,1,1,364671607,17.1147787084399
"148",148,2012,"tt1922777","Sinister","men","men","FAIL",3e+06,48086903,87727807,"2012FAIL",3043916,48790826,89012016,1,1,137802842,45.2715653125776
"149",149,2012,"tt1074638","Skyfall","dubious-disagree","dubious","FAIL",2e+08,304360277,1108694081,"2012FAIL",202927713,308815675,1124923772,1,1,1433739447,7.0652717945922
"150",150,2012,"tt1735898","Snow White and the Huntsman","ok","ok","PASS",1.7e+08,155136755,400911200,"2012PASS",172488556,157407735,406779965,1,1,564187700,3.27087032950754
"151",151,2012,"tt1876451","Sparkle","ok","ok","PASS",1e+07,24397469,24660323,"2012PASS",10146386,24754613,25021315,1,1,49775928,4.90577906261402
"152",152,2012,"tt2101441","Spring Breakers","ok","ok","PASS",5e+06,14124286,30669531,"2012PASS",5073193,14331045,31118489,1,1,45449534,8.95876305119872
"153",153,2012,"tt1800741","Step Up Revolution","ok","ok","PASS",3.3e+07,35074677,165552290,"2012PASS",33483073,35588120,167975738,1,1,203563858,6.07960499921856
"154",154,2012,"tt1874789","Supporting Characters","men","men","FAIL",60000,4917,4917,"2012FAIL",60878,4989,4989,1,1,9978,0.163901573639081
"155",155,2012,"tt1637725","Ted","men-disagree","men","FAIL",5e+07,218665740,549444574,"2012FAIL",50731928,221866693,557487654,1,1,779354347,15.36220636046
"156",156,2012,"tt1232200","That's My Boy","notalk","notalk","FAIL",67500000,36931089,58058367,"2012FAIL",68488103,37471707,58908258,1,1,96379965,1.40725119806574
"157",157,2012,"tt0948470","The Amazing Spider-Man","men-disagree","men","FAIL",2.2e+08,262030663,757890267,"2012FAIL",223220484,265866416,768984693,1,1,1034851109,4.6360042342709
"158",158,2012,"tt0848228","The Avengers","notalk","notalk","FAIL",6e+07,23385416,48585416,"2012FAIL",60878314,23727745,49296637,1,1,73024382,1.19951386958581
"159",159,2012,"tt1345836","The Dark Knight Rises","notalk-disagree","notalk","FAIL",2.75e+08,448139099,1079343943,"2012FAIL",279025606,454699213,1095143990,1,1,1549843203,5.55448378096167
"160",160,2012,"tt1560985","The Devil Inside","ok-disagree","ok","PASS",1e+06,53261944,101758489,"2012PASS",1014639,54041622,103248087,1,1,157289709,155.020365864115
